date,time,heart_rate
2016-03-13,09:07:00,0
2016-03-13,09:07:00,69
2016-03-13,09:11:00,93
2016-03-13,15:29:00,88
2016-03-13,15:42:00,88
2016-03-13,15:50:00,89
2016-03-13,15:50:00,89
2016-03-13,15:50:00,89
2016-03-13,16:26:00,87
2016-03-13,16:43:00,98
2016-03-13,16:46:00,93
2016-03-13,16:46:00,99
2016-03-13,16:46:00,123
2016-03-13,16:46:00,116
2016-03-13,16:46:00,104
2016-03-13,16:46:00,93
2016-03-13,16:46:00,93
2016-03-13,16:46:00,114
2016-03-13,16:46:00,109
2016-03-13,17:50:00,108
2016-03-13,17:50:00,88
2016-03-13,18:07:00,88
2016-03-13,18:07:00,123
2016-03-13,18:07:00,94
2016-03-13,18:07:00,90
2016-03-13,18:45:00,90
2016-03-13,18:50:00,104
2016-03-13,18:50:00,92
2016-03-13,18:50:00,104
2016-03-13,18:50:00,97
2016-03-13,18:50:00,80
2016-03-13,19:41:00,90
2016-03-13,19:42:00,84
2016-03-13,20:06:00,84
2016-03-13,20:21:00,88
2016-03-13,20:26:00,88
2016-03-13,20:50:00,88
2016-03-13,20:52:00,99
2016-03-13,20:52:00,87
2016-03-13,21:13:00,87
2016-03-13,21:32:00,87
2016-03-13,21:32:00,82
2016-03-13,21:46:00,84
2016-03-13,22:04:00,84
2016-03-13,22:14:00,87
2016-03-13,22:14:00,105
2016-03-13,22:14:00,87
2016-03-13,22:39:00,87
2016-03-13,22:55:00,75
2016-03-13,23:04:00,0
2016-03-13,23:04:00,76
2016-03-13,23:13:00,81
2016-03-13,23:33:00,82
2016-03-13,23:48:00,82
2016-03-14,10:06:00,84
2016-03-14,10:16:00,84
2016-03-14,10:34:00,80
2016-03-14,10:50:00,82
2016-03-14,11:06:00,82
2016-03-14,11:16:00,82
2016-03-14,11:29:00,82
2016-03-14,11:29:00,82
2016-03-14,11:53:00,114
2016-03-14,11:53:00,114
2016-03-14,11:53:00,89
2016-03-14,12:30:00,89
2016-03-14,12:39:00,89
2016-03-14,12:39:00,78
2016-03-14,12:57:00,78
2016-03-14,00:01:00,82
2016-03-14,00:07:00,73
2016-03-14,00:26:00,73
2016-03-14,00:41:00,73
2016-03-14,00:41:00,67
2016-03-14,00:57:00,67
2016-03-14,01:08:00,66
2016-03-14,01:27:00,66
2016-03-14,01:41:00,66
